store_id,store_name,event_id
a7f2223c-9414-4e1a-8171-04d1e2bc94fe,US,1
40aabe8a-0b4e-4d7c-816a-b46edab36df3,UK,2
a7f2223c-9414-4e1a-8171-04d1e2bc94fe,US,3
a7f2223c-9414-4e1a-8171-04d1e2bc94fe,US,4
af111424-335a-4d26-94ca-f5be662dd4c4,SE,5
af111424-335a-4d26-94ca-f5be662dd4c4,SE,6
af111424-335a-4d26-94ca-f5be662dd4c4,SE,7
bebae86e-4883-4e99-9d37-fccb9f3e974d,DE,8
a7f2223c-9414-4e1a-8171-04d1e2bc94fe,US,9
a7f2223c-9414-4e1a-8171-04d1e2bc94fe,US,10
a7f2223c-9414-4e1a-8171-04d1e2bc94fe,US,11
a7f2223c-9414-4e1a-8171-04d1e2bc94fe,US,12
bebae86e-4883-4e99-9d37-fccb9f3e974d,DE,13
bebae86e-4883-4e99-9d37-fccb9f3e974d,DE,14
af111424-335a-4d26-94ca-f5be662dd4c4,SE,15
40aabe8a-0b4e-4d7c-816a-b46edab36df3,UK,16
a7f2223c-9414-4e1a-8171-04d1e2bc94fe,US,17
bebae86e-4883-4e99-9d37-fccb9f3e974d,DE,18
40aabe8a-0b4e-4d7c-816a-b46edab36df3,UK,19
bebae86e-4883-4e99-9d37-fccb9f3e974d,DE,20
af111424-335a-4d26-94ca-f5be662dd4c4,SE,21
40aabe8a-0b4e-4d7c-816a-b46edab36df3,UK,22
bebae86e-4883-4e99-9d37-fccb9f3e974d,DE,23
40aabe8a-0b4e-4d7c-816a-b46edab36df3,UK,24
af111424-335a-4d26-94ca-f5be662dd4c4,SE,25
a7f2223c-9414-4e1a-8171-04d1e2bc94fe,US,26
af111424-335a-4d26-94ca-f5be662dd4c4,SE,27
40aabe8a-0b4e-4d7c-816a-b46edab36df3,UK,28
bebae86e-4883-4e99-9d37-fccb9f3e974d,DE,29
bebae86e-4883-4e99-9d37-fccb9f3e974d,DE,30
bebae86e-4883-4e99-9d37-fccb9f3e974d,DE,31
af111424-335a-4d26-94ca-f5be662dd4c4,SE,32
40aabe8a-0b4e-4d7c-816a-b46edab36df3,UK,33
af111424-335a-4d26-94ca-f5be662dd4c4,SE,34
bebae86e-4883-4e99-9d37-fccb9f3e974d,DE,35
